source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
KOI,3796448299,115917,5228800.0,14872.0,23239.0,81170.0,3748.0,307.0,0.0,0,FALSE POSITIVE
KOI,379654367,114071,707810.0,2837.0,15934.0,81170.0,3748.0,307.0,0.0,0,FALSE POSITIVE
KOI,15926990634,115142,3942300.0,34583.0,9394.0,51910.0,4615.0,65.0,0.0,0,FALSE POSITIVE
KOI,239830523,877,832.0,113.0,117.0,56960.0,4178.0,1292.0,,1,CANDIDATE
KOI,1219049953,1477,535.0,101.0,248.0,57420.0,3521.0,3374.0,0.0,0,FALSE POSITIVE
KOI,64585177,197644,3085000.0,8083.0,511.0,43990.0,4788.0,463.0,0.0,0,FALSE POSITIVE
KOI,134413808,13907,2061.0,125.0,169.0,60130.0,437.0,1187.0,,1,CANDIDATE
KOI,170192371,30271,498330.0,3511.0,4015.0,58260.0,4273.0,1262.0,0.0,0,FALSE POSITIVE
KOI,120693963,6881,200.0,243.0,97.0,73310.0,4041.0,2041.0,0.0,0,FALSE POSITIVE
KOI,3008602107,434296,1202700.0,5020.0,5615.0,60330.0,4398.0,1026.0,0.0,0,FALSE POSITIVE
KOI,4181145,2208,3020.0,59.0,14.0,55930.0,4478.0,812.0,0.0,0,FALSE POSITIVE
KOI,846291334,179962,1901900.0,10493.0,308.0,46270.0,4721.0,526.0,0.0,0,FALSE POSITIVE
KOI,1930451347,387956,530750.0,6023.0,5877.0,61540.0,4399.0,1168.0,0.0,0,FALSE POSITIVE
KOI,2427967843,47847,1269800.0,4728.0,10833.0,76520.0,4104.0,1921.0,0.0,0,FALSE POSITIVE
KOI,34797611,1677,3413.0,119.0,162.0,59950.0,4536.0,878.0,,1,CANDIDATE
KOI,6840305932,432742,1249300.0,20257.0,6208.0,59700.0,4521.0,908.0,0.0,0,FALSE POSITIVE
KOI,1032967155,117,1273.0,83.0,2122.0,52830.0,2352.0,18959.0,0.0,0,FALSE POSITIVE
