source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
K2,5.54583,,,,0.441,,,0.34,,1,CANDIDATE
K2,18.4502,,,,2.52,,,0.717,,1,CANDIDATE
K2,35.621,,,,1.89,5440.0,4.512,0.898,,1,CANDIDATE
K2,4.1333,,,,1.2,,,0.312,,1,CANDIDATE
K2,1.9611469,,,,5.93,4166.0,,0.64,,1,CANDIDATE
K2,1.96133691104,,,,15.86577929,4427.0,4.22028,1.06738,,1,CANDIDATE
K2,40.7302,,,,7.8,5840.0,4.44,0.98,,1,CANDIDATE
K2,40.7362,,,,7.28,5618.0,,0.85,,1,CANDIDATE
K2,18.10220826,,,,,6141.1,3.88145,2.04778,,1,CANDIDATE
K2,0.60408352,,,,2.26,4331.0,,0.67,,1,CANDIDATE
K2,3.52743,,,,1.11,3624.0,5.014,0.257,,1,CANDIDATE
K2,3.52725,,,,1.21,,,0.257,,1,CANDIDATE
K2,3.52674,,,,1.32,3413.0,4.87298,0.350987,,1,CANDIDATE
K2,3.5269024,,,,2.98,4332.0,,0.67,,1,CANDIDATE
K2,6340.0,,,,12.8,4800.0,,0.88,,1,CANDIDATE
K2,9.321691,,,,17.325,5089.0,4.712,0.678,,1,CANDIDATE
K2,6.662,,,,1.59,,,0.483,,1,CANDIDATE
K2,2.71578,,,,1.03,,,,1.0,0,CONFIRMED
K2,2.0478,,,,0.90819,4520.0,4.659,0.655,1.0,0,CONFIRMED
K2,,,,,35.0,,,1.266,,1,CANDIDATE
K2,27.27048734,,,,,5990.87,3.66162,2.564,0.0,0,FALSE POSITIVE
K2,27.242808,,,,93.0,,,2.54,0.0,0,FALSE POSITIVE
K2,27.24273,,,,31.73,6166.0,,0.92,0.0,0,FALSE POSITIVE
K2,27.242912,,,,18.8,5547.0,,0.9,0.0,0,FALSE POSITIVE
K2,1.395336,,,,0.76,,,0.28,,1,CANDIDATE
K2,1.39533316,,,,,3433.0,4.80422,0.424658,,1,CANDIDATE
K2,1.3951513,,,,0.879,3390.0,,0.32,,1,CANDIDATE
K2,15.3791,,,,1.89,,,0.336,,1,CANDIDATE
K2,33.5107,,,,2.14,5683.0,4.5,0.896,,1,CANDIDATE
K2,33.51569,,,,3.83,5552.0,,0.71,,1,CANDIDATE
K2,33.5116,,,,2.89,,,0.875,,1,CANDIDATE
K2,33.513607,,,,2.47313225,5628.0,4.57,0.857642,,1,CANDIDATE
K2,33.515399,,,,2.03,4222.0,,0.65,,1,CANDIDATE
K2,3.96151,,,,1.0,,,,1.0,0,CONFIRMED
K2,3.96165,,,,1.48,,,0.634,1.0,0,CONFIRMED
K2,6.97251,,,,2.01,,,0.6252,,1,CANDIDATE
K2,4.1698,,,,1.04,5053.0,4.595,0.628461,1.0,0,CONFIRMED
K2,4.16959,,,,1.1,,,,1.0,0,CONFIRMED
K2,4.16888,,,,1.41,,,0.628,1.0,0,CONFIRMED
K2,12.3389,,,,2.11,,,0.628,,1,CANDIDATE
K2,12.339133,,,,2.59,4751.0,,0.73,,1,CANDIDATE
K2,2.89465,,,,1.75,,,0.702,,1,CANDIDATE
K2,3.83794,,,,1.51,,,0.809,,1,CANDIDATE
K2,5.24086,,,,1.46,,,0.809,,1,CANDIDATE
K2,2790.0,,,,12.2,5100.0,,0.93,,1,CANDIDATE
K2,8.91058,,,,2.8,,,1.028,,1,CANDIDATE
K2,28.2692,,,,3.35,5631.0,4.2,1.29,,1,CANDIDATE
